163,1,"Windham, Special Service Dist. #2",,12.09,45
163,2,Windham 1st Taxing District,,1.9,
164,0,Windsor,32.96,,
164,1,"Windsor, Wilson Fire District",3,,
164,2,"Windsor, Windsor Fire District",2,,
165,0,Windsor Locks,26.66,,
166,0,Wolcott,32.2,,
167,0,Woodbridge,39.83,,
168,0,Woodbury,26.58,,
169,0,Woodstock,24.5,,
169,1,Woodstock - Lake Bunggee Tax Dist.,4.24,,
601,0,Borough of Bantam (Litchfield),1.5,,
603,0,Borough of Danielson,4.95,,
604,0,Borough of Fenwick (Old Saybrook),3.4398,,
606,0,Borough of Jewett City (Griswold),3.09,,
607,0,Borough of Litchfield,2,,
608,0,Borough of Newtown,0.95,,
610,0,Borough of Stonington #372,2.9,,
611,0,Borough of Woodmont (Milford),0.7054,,
