Code,Service District Code,Municipality,FY 2017 Mill Rate,FY 2017 Mill Rate - Real & Personal Property                  (PA 16-3 S.189 May SS),FY 2017 Mill Rate - Motor Vehicle          (PA 16-3 S.189 May SS)
144,2,Trumbull Center FD,,,
144,3,Trumbull Nichols FD,,,
145,0,Union,30.27,,
146,0,Vernon,,38.03,37
147,0,Voluntown,28.06,,
148,0,Wallingford,27.89,,
149,0,Warren,14.35,,
150,0,Washington,14.25,,
151,0,Waterbury,,60.21,37
152,0,Waterford,26.78,,
153,0,Watertown,30.89,,
154,0,Westbrook,23.14,,
155,0,West Hartford,,39.51,37
156,0,West Haven,,35.26,37
156,1,"West Haven, First Center only",,10.3,0
156,0,"West Haven, West Shore (2d) only",,9.379,0
156,0,"West Haven, Allingtown (Third) only",,11.07,0
157,0,Weston,28.56,,
157,1,Weston - Georgetown FD,1.621,,
158,0,Westport,16.86,,
159,0,Wethersfield,,38.54,37
160,0,Willington,27.73,,
161,0,Wilton,27.3371,,
161,,Wilton - Georgetown FD,1.5496,,
162,0,Winchester,,33.54,32
163,0,Windham,,,
163,1,"Windham, Special Service Dist. #2 ",,,
163,2,Windham 1st Taxing District,,,
164,0,Windsor,31.52,,
164,1,"Windsor, Wilson Fire District",3,,
164,2,"Windsor, Windsor Fire District",2,,
165,0,Windsor Locks,26.66,,
166,0,Wolcott,28.91,,
167,0,Woodbridge,,38.54,37
168,0,Woodbury,26.29,,
169,0,Woodstock,24.04,,
169,1,Woodstock - Lake Bunggee Tax Dist.,4.34,,
601,0,Borough of Bantam (Litchfield),1.5,,
603,0,Borough of Danielson,4.95,,
604,0,Borough of Fenwick (Old Saybrook),3.23,,
606,0,Borough of Jewett City (Griswold),4.29,,
607,0,Borough of Litchfield,1.6,,
608,0,Borough of Newtown,0.86,,
610,0,Borough of Stonington #372,2.8,,
611,0,Borough of Woodmont (Milford),,,
